ID,Artists,Streams
256,"6ix9ine, A Boogie Wit da Hoodie, Fetty Wap",31352330
257,"Bianca, DJ Biel do Furduncinho, L7NNON",31135935
258,"Lil Jon, Ludacris, USHER",30873075
259,"Post Malone, Roddy Ricch, Tyga",30659321
260,"Drake, N.E.R.D, Rihanna",30069267
261,"G-Eazy, YBN Nahmir, Yo Gotti",28985911
262,"21 Savage, Metro Boomin, Young Nudy",28874277
263,"Lil Tjay, Moneybagg Yo, Offset",28824205
264,"Cashmere Cat, Selena Gomez, Tory Lanez",28624678
265,"Amenazzy, Farruko, Nicky Jam",28584706
266,"KayBlack, MC Caverinha, Wall Hein",27641237
267,"Gaby Music, Luar La L, Lunay",27374075
268,"Arcane, Imagine Dragons, League of Legends",27128557
269,"Drake, Static Major, Ty Dolla $ign",26692288
270,"Avicii, Kygo, Sandro Cavazza",26522830
271,"De La Ghetto, Justin Quiles, Paulo Londra",25959853
272,"2 Chainz, Drake, Quavo",25780677
273,"Jonas Blue, Lennon Stella, Liam Payne",25640810
274,"Bizarrap, Duki, Nicki Nicole",25442176
275,"21 Savage, James Blake, Travis Scott",25385397
276,"Hit-Boy, Nipsey Hussle, Roddy Ricch",24895225
277,"Luan Pereira, MC Ryan SP, Mc Daniel",24766444
278,"Anuel AA, Jhayco, Myke Towers",24648376
279,"Brooks, David Guetta, Loote",24597139
280,"Kid Cudi, Pop Smoke, Skepta",24498722
281,"Bad Bunny, Duki, Pablo Chill-E",24181407
282,"Chris Brown, Marshmello, Tyga",23960373
283,"Don Toliver, Justin Bieber, Skrillex",23395152
284,"Duki, Fuego, Manuel Turizo",23164535
285,"Anitta, Luísa Sonza, Pabllo Vittar",23105515
286,"Luis R Conriquez, Peso Pluma, Tony Aguirre",23099927
287,"Capital Bra, KC Rebell, Summer Cem",23072832
288,"Alicia Keys, Fivio Foreign, Kanye West",22636945
289,"Dave, Ed Sheeran, Paulo Londra",22488811
290,"Baby Keem, Kendrick Lamar, Sam Dew",22468723
291,"Chance the Rapper, DaBaby, MadeinTYO",22273873
292,"Eminem, Royce Da 5'9"", White Gold",22104455
293,"La Joaqui, Steve Aoki, TINI",21928725
294,"Ant Clemons, Kanye West, Ty Dolla $ign",21649983
295,"21 Savage, Metro Boomin, Young Thug",21130684
296,"Juju, Loredana, Miksu / Macloud",21111742
297,"JS o Mão de Ouro, Mila, Thiaguinho MT",21098129
298,"The Creator, The Weeknd, Tyler",21079011
299,"Feid, Jhayco, Sech",20866082
300,"6LACK, Bas, J. Cole",20802346
301,"21 Savage, Offset, Travis Scott",20273031
302,"Felipe Original, JS o Mão de Ouro, PEDRO SAMPAIO",20106694
303,"The Chainsmokers, Ty Dolla $ign, bülow",20012659
304,"Clipse, Kanye West, Kenny G",19916542
305,"Ak4:20, Cris Mj, Pailita",19657333
306,"Bruno Mars, Chris Stapleton, Ed Sheeran",19574654
307,"KASIMIR1441, WILDBWOYS, badmómzjay",19487598
308,"AJ Tracey, Headie One, Stormzy",19362176
309,"Jowell & Randy, Manuel Turizo, The Rudeboyz",19034981
310,"N.E.R.D, Pharrell Williams, Rihanna",18971433
311,"Swae Lee, The Weeknd, Travis Scott",18943042
312,"Cris Mj, KAROL G, Ryan Castro",18651957
313,"Don Toliver, Future, Justin Bieber",18565000
314,"Dj Win, MC Tairon, Mc Vitin Da Igrejinha",18560499
315,"Jamule, KITSCHKRIEG, SFR",18393744
316,"Daddy Yankee, Katy Perry, Snow",18332753
317,"Igow, Wesley Safadão, Zé Felipe",18213618
318,"DJ Khaled, Lil Baby, Lil Durk",17741524
319,"Ariana Grande, Nicki Minaj, Normani",17634642
320,"Ghostface Killah, Kendrick Lamar, Summer Walker",17034841
321,"Achille Lauro, Fedez, Orietta Berti",16761035
322,"Don Toliver, Offset, Quavo",16715617
323,"Daft Punk, Nile Rodgers, Pharrell Williams",16582399
324,"Don Toliver, JACKBOYS, Travis Scott",16567300
325,"Daddy Yankee, Feid, Yandel",16426427
326,"Cardi B, Kanye West, Lil Durk",16401755
327,"Drake, Travis Scott, Young Thug",15739596
328,"Bonez MC, Gzuz, RAF Camora",15681347
329,"Kawe, Mc Lele JP, Original Quality",15646619
330,"Drake, Lil Wayne, Rick Ross",15443086
331,"Drake, Fivio Foreign, Sosa Geek",14702818
332,"Bootie Brown, Gorillaz, Tame Impala",14365799
333,"21 Savage, 42 Dugg, Pop Smoke",14276812
334,"Chris Brown, Gucci Mane, USHER",14265873
335,"A Boogie Wit da Hoodie, Internet Money, Lil Tecca",14263007
336,"Arcángel, Bad Bunny, Kendo Kaponi",14237075
337,"Lil Durk, Polo G, The Kid LAROI",14209837
338,"Dave Chappelle, Travis Scott, Yung Lean",14154074
339,"Big Sean, Lil Baby, Lil Wayne",13837710
340,"Juice WRLD, Trippie Redd, YNW Melly",13824212
341,"Lil Baby, NAV, Travis Scott",13812029
342,"Jason Derulo, Jhorrmountain, Puri",13625971
343,"PnB Rock, Trippie Redd, XXXTENTACION",13009351
344,"Lil Baby, Lil Durk, Meek Mill",12764821
345,"Doja Cat, Ozuna, Sia",12748732
346,"21 Savage, Cardi B, DJ Khaled",12652972
347,"Marshmello, Vance Joy, benny blanco",12580090
348,"Marshmello, YUNGBLUD, blackbear",12402011
349,"Chris Brown, J Balvin, Tyga",12203291
350,"Anitta, Becky G, TINI",12113466
351,"21 Savage, Metro Boomin, Mustafa",11552254
352,"21 Savage, Lil Durk, Metro Boomin",11437647
353,"A$AP Rocky, The Creator, Tyler",11398019
354,"42 Dugg, The Creator, Tyler",11380679
355,"Bizarrap, Duki, Justin Quiles",11344450
356,"Edgardo Nuñez, Los Dareyes De La Sierra, Peso Pluma",11328963
357,"Lil Uzi Vert, Nicki Minaj, Oh Wonder",11057702
358,"Blueface, Cardi B, YG",11050567
359,"21 Savage, Big Sean, Metro Boomin",11012255
360,"Dj Adoni, Farruko, Victor Cardenas",10666001
361,"Big Sean, Metro Boomin, Travis Scott",10606250
362,"A$AP Rocky, Post Malone, Young Thug",10526635
363,"Marracash, Sfera Ebbasta, thasup",10401867
364,"Farid Bang, French Montana, Khaled",10267614
365,"Future, Lil Uzi Vert, Metro Boomin",10231095
366,"Bono, Martin Garrix, The Edge",10223445
367,"Future, Offset, Young Thug",9961624
368,"Alvaro Soler, Flo Rida, TINI",9923093
369,"BTS, Lil Nas X, RM",9920697
370,"A$AP Rocky, Metro Boomin, Takeoff",9912090
371,"Lil Wayne, The Creator, Tyler",9889197
372,"Bushido, Capital Bra, Samra",9758420
373,"Migos, Travis Scott, Young Thug",9652399
374,"Juice WRLD, Polo G, Trippie Redd",9422363
375,"Kanye West, Travis Barker, XXXTENTACION",9418581
376,"Jasiel Nuñez, Junior H, Peso Pluma",9397984
377,"21 Savage, Mikky Ekko, Tommy Newport",9099918
378,"Ab-Soul, Anderson .Paak, James Blake",9064157
379,"Future, Metro Boomin, Travis Scott",8900466
380,"A$AP Rocky, Lana Del Rey, Playboi Carti",8887206
381,"DJ Drama, The Creator, Tyler",8884283
382,"Kanye West, Pop Smoke, Pusha T",8859168
383,"Ed Sheeran, J Hus, Young Thug",8830186
384,"James Arthur, Juicy J, Marshmello",8813003
385,"Luis Fonsi, Nicky Jam, Sebastian Yatra",8776891
386,"DJ Khaled, Post Malone, Travis Scott",8661535
387,"21 Savage, Burna Boy, Metro Boomin",8511674
388,"A Boogie Wit da Hoodie, Ed Sheeran, Meek Mill",8285363
389,"David Guetta, Lil Wayne, Nicki Minaj",8254924
390,"Joel De La P, Luis R Conriquez, Tito Double P",8191014
391,"Jay Electronica, Justin Bieber, Poo Bear",8135136
392,"Gucci Mane, Quavo, Ty Dolla $ign",7988810
393,"Teezo Touchdown, The Creator, Tyler",7917707
394,"Beyoncé, Grace Jones, Tems",7910936
395,"Flowdan, Fred again.., Skrillex",7879026
396,"Gunna, Young Stoner Life, Young Thug",7753784
397,"DJ Khaled, Future, SZA",7712185
398,"JACKBOYS, Pop Smoke, Travis Scott",7685470
399,"Belly, The Weeknd, Young Thug",7365053
400,"Lil Baby, Lil Durk, Travis Scott",7324233
401,"Ariana Grande, Jennifer Hudson, Mariah Carey",7170169
402,"A$AP Rocky, The Weeknd, Young Thug",7049037
403,"Domo Genesis, The Creator, Tyler",6988886
404,"Charlie Charles, Ghali, Sfera Ebbasta",6947126
405,"Bad Bunny, J Balvin, Marciano Cantero",6882345
406,"DJ Khaled, John Legend, Nipsey Hussle",6818858
407,"Lil Durk, Polo G, Trippie Redd",6767904
408,"Brent Faiyaz, Drake, The Neptunes",6731106
409,"Anuel AA, Fabolous, Meek Mill",6416037
410,"Metro Boomin, Swae Lee, Travis Scott",6331627
411,"BTS, Halsey, SUGA",6288633
412,"Beyoncé, DJ Khaled, JAY-Z",6277336
413,"Dj Guuga, Wesley Safadão, Zé Felipe",6194305
414,"KSI, Polo G, YUNGBLUD",6155698
415,"6ix9ine, Tory Lanez, Young Thug",6122294
416,"Future, Pop Smoke, Quavo",6102253
417,"21 Savage, DJ Khaled, Justin Bieber",6083338
418,"DAISY WORLD, The Creator, Tyler",6034281
419,"DJ Khaled, Future, Lil Baby",5978835
420,"JAY-Z, Meek Mill, Rick Ross",5949449
421,"Pop Smoke, Quavo, Tyga",5931242
422,"Belly, Nas, The Weeknd",5924965
423,"Alonzo, Naps, Ninho",5892932
424,"Loredana, SRNO, Zuna",5878493
425,"Pop Smoke, Rick Ross, The-Dream",5822266
426,"Lazza, Sfera Ebbasta, thasup",5819231
427,"Fivio Foreign, Kay Flock, Lil Tjay",5796357
