Edge_Artist_1,Edge_Artist_2,Streams,Path,Path Length
Feid,Dalex,681231902,Feid → Sech → Dalex,2
Feid,Lenny Tavárez,681231902,Feid → Sech → Lenny Tavárez,2
Dynoro,Gigi D'Agostino,676704919,,-1
DaBaby,Pop Smoke,672674643,DaBaby → Dua Lipa → Pop Smoke,2
Lil Baby,Pop Smoke,672674643,Lil Baby → Future → Pop Smoke,2
Offset,Metro Boomin,672620782,Offset → Drake → Metro Boomin,2
PinkPantheress,Ice Spice,666819252,,-1
Tyler,Kali Uchis,666398988,Tyler → The Creator → Kali Uchis,2
The Creator,Kali Uchis,666398988,The Creator → Tyler → Kali Uchis,2
Taylor Swift,ZAYN,664141828,Taylor Swift → Kendrick Lamar → Sia → ZAYN,3
Nicki Minaj,Jason Derulo,662050416,Nicki Minaj → David Guetta → Jason Derulo,2
Daddy Yankee,Farruko,661900157,Daddy Yankee → Bad Bunny → Farruko,2
Selena Gomez,Kygo,657716663,Selena Gomez → DJ Snake → Tyga → Kygo,3
Travis Scott,Metro Boomin,654439725,Travis Scott → Drake → Metro Boomin,2
Charlie Puth,Jung Kook,652871153,Charlie Puth → BTS → Jung Kook,2
Charlie Puth,BTS,652871153,Charlie Puth → Jung Kook → BTS,2
Maroon 5,SZA,651050835,Maroon 5 → Future → SZA,2
Calvin Harris,Funk Wav,650572807,Calvin Harris → Khalid → Funk Wav,2
Bad Bunny,Sech,649361525,Bad Bunny → Ozuna → Sech,2
Feid,Yandel,647760546,Feid → Bad Bunny → Yandel,2
KAROL G,Peso Pluma,646559464,KAROL G → Kali Uchis → Peso Pluma,2
Ozuna,Nio Garcia,642868159,Ozuna → Bad Bunny → Nio Garcia,2
Ozuna,Casper Magico,642868159,Ozuna → Bad Bunny → Casper Magico,2
Nio Garcia,Casper Magico,642868159,Nio Garcia → Bad Bunny → Casper Magico,2
Sech,Darell,636770323,Sech → Bad Bunny → Darell,2
Khalid,Logic,629880837,Khalid → Marshmello → Logic,2
Khalid,Alessia Cara,629880837,Khalid → Logic → Alessia Cara,2
Logic,Alessia Cara,629880837,Logic → Khalid → Alessia Cara,2
Drake,DJ Khaled,625188062,Drake → 21 Savage → DJ Khaled,2
Bad Bunny,Mambo Kingz,624486762,Bad Bunny → Ozuna → Mambo Kingz,2
Bad Bunny,DJ Luian,624486762,Bad Bunny → Ozuna → DJ Luian,2
Ty Dolla $ign,Nicki Minaj,621914130,Ty Dolla $ign → Post Malone → Nicki Minaj,2
The Weeknd,Playboi Carti,619352501,The Weeknd → Lana Del Rey → Playboi Carti,2
The Weeknd,Madonna,619352501,The Weeknd → Playboi Carti → Madonna,2
Playboi Carti,Madonna,619352501,Playboi Carti → The Weeknd → Madonna,2
Anuel AA,Darell,616071240,Anuel AA → Bad Bunny → Darell,2
Lil Baby,Gunna,613754858,Lil Baby → Post Malone → Gunna,2
Bad Bunny,Nicky Jam,611228259,Bad Bunny → Ozuna → Nicky Jam,2
Y2K,bbno$,610441444,,-1
Feid,Justin Quiles,610146835,Feid → J Balvin → Justin Quiles,2
Junior H,Gabito Ballesteros,608084951,Junior H → Peso Pluma → Gabito Ballesteros,2
Ariana Grande,Lady Gaga,602784185,Ariana Grande → Calvin Harris → Dua Lipa → Elton John → Lady Gaga,4
Jhayco,J Balvin,599912368,Jhayco → Bad Bunny → J Balvin,2
J Balvin,Sech,596695485,J Balvin → Bad Bunny → Sech,2
Travis Scott,Offset,595037516,Travis Scott → Drake → Offset,2
Becky G,NATTI NATASHA,591691004,Becky G → David Guetta → NATTI NATASHA,2
Kendrick Lamar,Jay Rock,591362962,Kendrick Lamar → Future → Jay Rock,2
Young Thug,Gunna,588169014,Young Thug → Post Malone → Gunna,2
Zedd,Alessia Cara,586741623,Zedd → Shawn Mendes → Khalid → Alessia Cara,3
Bad Bunny,Arcángel,586548365,Bad Bunny → Ozuna → Arcángel,2
Selena Gomez,Marshmello,586228775,Selena Gomez → benny blanco → Marshmello,2
Calvin Harris,Rihanna,585925353,Calvin Harris → Future → Rihanna,2
Marshmello,Juice WRLD,582245054,Marshmello → The Kid LAROI → Juice WRLD,2
Bad Bunny,Julieta Venegas,581354380,Bad Bunny → Tainy → Julieta Venegas,2
Tainy,Julieta Venegas,581354380,Tainy → Bad Bunny → Julieta Venegas,2
Sam Smith,Calvin Harris,581080470,Sam Smith → Jessie Reyez → Calvin Harris,2
Bad Bunny,Casper Magico,580565818,Bad Bunny → Ozuna → Casper Magico,2
Bad Bunny,Darell,580565818,Bad Bunny → Chencho Corleone → Darell,2
Darell,Nio Garcia,580565818,Darell → Bad Bunny → Nio Garcia,2
Darell,Casper Magico,580565818,Darell → Bad Bunny → Casper Magico,2
Nicky Jam,Nio Garcia,580565818,Nicky Jam → Bad Bunny → Nio Garcia,2
Nicky Jam,Casper Magico,580565818,Nicky Jam → Bad Bunny → Casper Magico,2
J Balvin,Black Eyed Peas,579778398,J Balvin → David Guetta → Black Eyed Peas,2
Drake,Rick Ross,579646333,Drake → DJ Khaled → Rick Ross,2
Riton,Nightcrawlers,577050376,Riton → Mufasa & Hypeman → Nightcrawlers,2
Riton,Mufasa & Hypeman,577050376,Riton → Nightcrawlers → Mufasa & Hypeman,2
Riton,Dopamine,577050376,Riton → Nightcrawlers → Dopamine,2
Nightcrawlers,Mufasa & Hypeman,577050376,Nightcrawlers → Riton → Mufasa & Hypeman,2
Nightcrawlers,Dopamine,577050376,Nightcrawlers → Riton → Dopamine,2
Mufasa & Hypeman,Dopamine,577050376,Mufasa & Hypeman → Riton → Dopamine,2
Julia Michaels,JP Saxe,570566236,,-1
Dalex,Dímelo Flow,565418429,Dalex → Chencho Corleone → Dímelo Flow,2
Lenny Tavárez,Dímelo Flow,565418429,Lenny Tavárez → Chencho Corleone → Dímelo Flow,2
070 Shake,RAYE,565145951,070 Shake → Nas → The Weeknd → French Montana → David Guetta → RAYE,5
Sam Smith,Jessie Reyez,564928917,Sam Smith → Calvin Harris → Jessie Reyez,2
Calvin Harris,Jessie Reyez,564928917,Calvin Harris → Sam Smith → Jessie Reyez,2
Clean Bandit,Zara Larsson,562297294,Clean Bandit → Sean Paul → J Balvin → Tyga → Zara Larsson,4
Ty Dolla $ign,Jason Derulo,561565071,Ty Dolla $ign → Nicki Minaj → Jason Derulo,2
Drake,BlocBoy JB,557605940,Drake → 21 Savage → A$AP Rocky → BlocBoy JB,3
Mustard,Roddy Ricch,553718428,Mustard → A Boogie Wit da Hoodie → Roddy Ricch,2
Dave,Central Cee,553546418,Dave → Ed Sheeran → Major Lazer → Jung Kook → Central Cee,4
Anuel AA,Myke Towers,550299310,Anuel AA → Quevedo → Myke Towers,2
Gabito Ballesteros,Natanael Cano,546932805,Gabito Ballesteros → Peso Pluma → Natanael Cano,2
Clean Bandit,Demi Lovato,546828888,Clean Bandit → Luis Fonsi → Demi Lovato,2
Calvin Harris,Pharrell Williams,546456309,Calvin Harris → Ariana Grande → Pharrell Williams,2
Drake,Lil Durk,543946120,Drake → 21 Savage → Lil Durk,2
Sean Paul,Clean Bandit,543732279,Sean Paul → Anne-Marie → Clean Bandit,2
Sean Paul,Anne-Marie,543732279,Sean Paul → David Guetta → Anne-Marie,2
Clean Bandit,Anne-Marie,543732279,Clean Bandit → Sean Paul → Anne-Marie,2
Jhayco,Wisin,539633080,Jhayco → Bad Bunny → Wisin,2
Jhayco,Los Legendarios,539633080,Jhayco → Anuel AA → Los Legendarios,2
Shakira,Maluma,527312839,Shakira → Ozuna → Maluma,2
XXXTENTACION,Trippie Redd,524911465,XXXTENTACION → PnB Rock → Trippie Redd,2
Drake,Meek Mill,522394456,Drake → Rick Ross → Meek Mill,2
Future,Young Thug,521627865,Future → Post Malone → Young Thug,2
Rauw Alejandro,Lyanno,517280720,Rauw Alejandro → Chencho Corleone → Lyanno,2
Ozuna,Manuel Turizo,517125342,Ozuna → Shakira → Manuel Turizo,2
Bad Bunny,ROSALÍA,512900063,Bad Bunny → Ozuna → ROSALÍA,2
SZA,Kendrick Lamar,512716678,SZA → The Weeknd → Kendrick Lamar,2
KAROL G,Becky G,508562481,KAROL G → Bad Bunny → Becky G,2
Anuel AA,DJ Luian,507675454,Anuel AA → Quevedo → DJ Luian,2
Anuel AA,Mambo Kingz,507675454,Anuel AA → Quevedo → Mambo Kingz,2
DJ Khaled,Rihanna,506544287,DJ Khaled → Drake → Rihanna,2
DJ Khaled,Bryson Tiller,506544287,DJ Khaled → Drake → Bryson Tiller,2
Rihanna,Bryson Tiller,506544287,Rihanna → Drake → Bryson Tiller,2
Justin Bieber,Ariana Grande,504035633,Justin Bieber → Future → Ariana Grande,2
Surf Mesa,Emilee,503910352,,-1
J Balvin,Zion & Lennox,503749818,J Balvin → Bad Bunny → Zion & Lennox,2
Chino Pacas,Fuerza Regida,503564986,Chino Pacas → Calle 24 → Fuerza Regida,2
Loud Luxury,Brando,502428465,,-1
Quavo,Liam Payne,502279002,Quavo → Justin Bieber → J Balvin → Liam Payne,3
Calle 24,Chino Pacas,499360191,Calle 24 → Fuerza Regida → Chino Pacas,2
Justin Quiles,Maluma,496798109,Justin Quiles → Feid → Maluma,2
6ix9ine,Nicki Minaj,496695237,6ix9ine → Anuel AA → Nicki Minaj,2
ZAYN,Sia,494566732,ZAYN → Taylor Swift → Kendrick Lamar → Sia,3
Dua Lipa,Martin Garrix,493933128,Dua Lipa → Sean Paul → David Guetta → Martin Garrix,3
Macklemore,Rudimental,493838843,Macklemore → Jess Glynne → Rudimental,2
Macklemore,Jess Glynne,493838843,Macklemore → Rudimental → Jess Glynne,2
Macklemore,Dan Caplen,493838843,Macklemore → Rudimental → Dan Caplen,2
Rudimental,Jess Glynne,493838843,Rudimental → Macklemore → Jess Glynne,2
Rudimental,Dan Caplen,493838843,Rudimental → Macklemore → Dan Caplen,2
Jess Glynne,Dan Caplen,493838843,Jess Glynne → Macklemore → Dan Caplen,2
Tiago PZK,LIT killah,493694728,Tiago PZK → KHEA → LIT killah,2
Metro Boomin,Don Toliver,492571801,Metro Boomin → Future → Don Toliver,2
