Artist ID,Artists,Streams
259,"Sebastian Yatra, Daddy Yankee, NATTI NATASHA, Jonas Brothers",7797259
260,"Lil Nas X, Billy Ray Cyrus, Mason Ramsey, Young Thug",6980925
261,"Blue Ivy, SAINt JHN, Beyoncé, Wizkid",6553492
262,"DJ Snake, Selena Gomez, Ozuna, Cardi B",6476030
263,"Mustard, NAV, Playboi Carti, A Boogie Wit da Hoodie",5728294
264,"XXXTENTACION, Ky-Mani Marley, Stefflon Don, Vybz Kartel",4599461
265,"Jax Jones, Martin Solveig, Madison Beer, Europa",4444521
266,"Silk City, Dua Lipa, Diplo, Mark Ronson",15882221
267,"DJ Khaled, Justin Bieber, Quavo, Chance the Rapper",15529294
268,"Sia, Diplo, Labrinth, LSD",12055103
269,"Tiësto, Dzeko, Preme, Post Malone",11851093
270,"Jason Derulo, David Guetta, Nicki Minaj, Willy William",9771636
271,"YG, 2 Chainz, Big Sean, Nicki Minaj",6147076
272,"Nicky Jam, J Balvin, Maluma, Ozuna",5906176
273,"Rudimental, Jess Glynne, Macklemore, Dan Caplen",5219096
274,"Daddy Yankee, NATTI NATASHA, Becky G, Bad Bunny",4552750
275,"Joel Corry, Jax Jones, Charli XCX, Saweetie",9869162
276,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",8262943
277,"Internet Money, Gunna, Don Toliver, NAV",5865185
278,"Jasleen Royal, B Praak, Romy, Anvita Dutt",5683967
279,"Hailee Steinfeld, Alesso, Florida Georgia Line, WATT",9391336
280,"Lorde, Khalid, Post Malone, SZA",7812451
281,"Chris Jedi, J Balvin, Ozuna, Arcángel",5812065
282,"Major Lazer, Travis Scott, Camila Cabello, Quavo",3991335
283,"2 Chainz, Ty Dolla $ign, Trey Songz, Jhené Aiko",3638112
284,"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",7057790
285,"G Herbo, Lil Uzi Vert, Juice WRLD, Chance the Rapper",4880524
286,"Metro Boomin, Swae Lee, NAV, A Boogie Wit da Hoodie",18012833
287,"Metro Boomin, Swae Lee, Lil Wayne, Offset",14513660
288,"SAIKO, Quevedo, Feid, Mora",9469057
289,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",9157419
290,"Veigh, Bvga Beatz, Prod Malax, Supernova Ent",8959244
291,"Major Lazer, Travis Scott, Camila Cabello, Quavo",10447973
292,"Chris Jedi, J Balvin, Ozuna, Arcángel",7723099
293,"Calvin Harris, Future, Khalid, Funk Wav",4735827
294,"2 Chainz, Ty Dolla $ign, Trey Songz, Jhené Aiko",4648489
295,"Dimitri Vegas & Like Mike, David Guetta, Dimitri Vegas, Kiiara",3977360
